mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
391.5589549718885,575.9152646728206,384.8350189966873,992.543215442653,-130.50119475757865
296.26988486924307,322.2377526072414,302.89998298973825,992.543215442653,-130.50119475757865
376.4591233750729,571.1732297166055,363.40025306202915,992.543215442653,-130.50119475757865
381.97504521385684,582.9994659708447,380.0298178803567,992.543215442653,-130.50119475757865
387.29595090746255,551.011305935452,377.45260751440384,992.543215442653,-130.50119475757865
350.5862090534325,566.129722662432,319.1981833919619,992.543215442653,-130.50119475757865
388.90498824178934,593.6671152187082,374.59348508378895,992.543215442653,-130.50119475757865
399.64475690498955,661.4063643493001,382.6059786584924,992.543215442653,-130.50119475757865
405.88567880886836,659.8040792393144,387.82462188368123,992.543215442653,-130.50119475757865
344.91486385258105,521.5658849660188,331.26030024622344,992.543215442653,-130.50119475757865
430.9479142665283,1009.075056710443,384.2995005284008,1009.075056710443,-130.50119475757865
388.4638133409671,576.4267119995076,401.06665199043664,1009.075056710443,-130.50119475757865
445.35310374976524,996.3347717588589,409.16143104931444,1009.075056710443,-130.50119475757865
458.8279544354654,1012.1748122858178,412.8464263019834,1012.1748122858178,-130.50119475757865
446.776661135149,907.8252067262888,391.08799525658105,1012.1748122858178,-130.50119475757865
488.5821222916159,1017.5062495893854,417.5451443434695,1017.5062495893854,-130.50119475757865
477.7724006723743,1012.4596535662319,401.04606568963413,1017.5062495893854,-130.50119475757865
399.6825867689086,736.2810728946681,366.93941826373083,1017.5062495893854,-130.50119475757865
516.6444150920673,1014.2175373055135,410.1182933975939,1017.5062495893854,-130.50119475757865
435.0563839200608,918.6251037523746,380.7312713418527,1017.5062495893854,-130.50119475757865
498.23904471119874,1033.24239410104,398.72563478051194,1033.24239410104,-130.50119475757865
373.52260281515004,606.5252000795294,364.07895961614526,1033.24239410104,-130.50119475757865
464.10636540645805,1011.7943717865028,394.75569741337955,1033.24239410104,-130.50119475757865
443.2523745688674,1012.819899413602,379.48684503983145,1033.24239410104,-130.50119475757865
413.5363900080057,910.1345032436125,361.9566039671097,1033.24239410104,-130.50119475757865
425.89602983358924,835.7132307817689,373.3535782664967,1033.24239410104,-130.50119475757865
447.25597197532113,959.2509542715818,380.52083008578404,1033.24239410104,-130.50119475757865
423.95840145570844,1004.3036559559372,374.3006085353852,1033.24239410104,-130.50119475757865
419.0713986366544,845.4762915558174,393.3029510735267,1033.24239410104,-130.50119475757865
550.4747756426657,976.704719416499,417.88692285263835,1033.24239410104,-130.50119475757865
108.12014601318292,740.6040473206938,314.5180700854367,1033.24239410104,-2785.004833537764
396.2414202760534,1060.4284697676999,408.24469329766515,1060.4284697676999,-2785.004833537764
176.63807278180724,1034.742800690041,357.17442651689714,1060.4284697676999,-3069.8784293766253
617.5478523732277,1083.0457871417734,418.3773677047687,1083.0457871417734,-3069.8784293766253
66.91569960436642,979.1221043081883,339.7672661544816,1083.0457871417734,-3399.4852997638077
386.42799703520564,831.8942456268309,330.9145400618915,1083.0457871417734,-3399.4852997638077
481.5293083335358,1019.6037362107879,391.7594592691866,1083.0457871417734,-3399.4852997638077
485.6134516159699,1059.100740753222,391.30259274247936,1083.0457871417734,-3399.4852997638077
356.2845504381605,639.7043025154992,341.4067986434229,1083.0457871417734,-3399.4852997638077
618.1941228839954,1059.074066355488,487.2336759348097,1083.0457871417734,-3399.4852997638077
523.8910346263883,1022.5729995105966,383.1809943402518,1083.0457871417734,-3399.4852997638077
595.9731893667721,1095.982026212539,467.26670473269957,1095.982026212539,-3399.4852997638077
373.1887044765081,820.8846474068126,354.7469102306802,1095.982026212539,-3399.4852997638077
578.3085463654173,1052.7242195851607,460.25391844753483,1095.982026212539,-3399.4852997638077
711.4009309660644,1042.8463593845534,674.2256017283356,1095.982026212539,-3399.4852997638077
634.5873809719232,1071.8718239556556,452.41750693129967,1095.982026212539,-3399.4852997638077
396.9883771446774,590.7956680645084,368.4932614983404,1095.982026212539,-3399.4852997638077
422.31867449608706,999.0362592373763,376.3435766988983,1095.982026212539,-3399.4852997638077
400.4906672020312,635.1439826257373,383.9727121699638,1095.982026212539,-3399.4852997638077
402.06414701488353,649.1877794911364,385.78861017776256,1095.982026212539,-3399.4852997638077
462.53225353444753,1003.524831283446,351.08382201828266,1095.982026212539,-3399.4852997638077
655.670132625717,1014.807209184475,510.4020657772501,1095.982026212539,-3399.4852997638077
623.2781282569794,1016.5942906670942,546.1007681831575,1095.982026212539,-3399.4852997638077
540.5145919748243,1003.0642962917766,477.08051085005985,1095.982026212539,-3399.4852997638077
530.0773902583894,1000.0970230918795,376.71077722691825,1095.982026212539,-3399.4852997638077
507.4647861663697,996.2278300345394,425.1888715987024,1095.982026212539,-3399.4852997638077
625.1972421533421,1003.756753875883,496.4616552992473,1095.982026212539,-3399.4852997638077
508.10608144491783,1008.1608284942965,399.010061418627,1095.982026212539,-3399.4852997638077
529.6786843403938,993.9732381366669,456.2042567689917,1095.982026212539,-3399.4852997638077
538.8142517650864,994.0544300008753,416.69987606522216,1095.982026212539,-3399.4852997638077
572.8287326091399,1006.2287372778085,408.6485764176789,1095.982026212539,-3399.4852997638077
658.1868091154477,1029.9873704144516,514.7065061794352,1095.982026212539,-3399.4852997638077
700.2975385484045,1041.9238752514216,718.7986130239248,1095.982026212539,-3399.4852997638077
372.32128422621497,851.8474038580243,350.69128059560813,1095.982026212539,-3399.4852997638077
635.2472150473916,1073.1601485365475,406.18527630964127,1095.982026212539,-3399.4852997638077
559.7368798549901,988.4157669450951,374.304748731795,1095.982026212539,-3399.4852997638077
737.5981947351756,1090.0209876148945,775.2451715737969,1095.982026212539,-3399.4852997638077
538.0834783568281,963.9078918986648,407.997142940864,1095.982026212539,-3399.4852997638077
722.230953565603,1066.0304943416597,697.7297707751363,1095.982026212539,-3399.4852997638077
790.509893271471,1018.3270123262772,943.2727170428611,1095.982026212539,-3399.4852997638077
815.2170402968154,1118.027710448684,905.6779078759579,1118.027710448684,-3399.4852997638077
438.11751403655154,962.3361245331695,336.65778455021103,1118.027710448684,-3399.4852997638077
653.3528297667416,1045.6503890408103,492.32481886490365,1118.027710448684,-3399.4852997638077
825.4060942303184,1049.6925689378156,938.8429828055658,1118.027710448684,-3399.4852997638077
926.8422951191596,1119.8515793535535,1064.6282245784257,1119.8515793535535,-3399.4852997638077
468.266700026111,883.8719220637821,370.8411976990156,1119.8515793535535,-3399.4852997638077
888.8681212511714,1063.3088077678149,1010.302810245137,1119.8515793535535,-3399.4852997638077
835.8962027122119,1083.4568070924245,955.8927355364872,1119.8515793535535,-3399.4852997638077
916.4992318753752,1117.4390488326787,1086.8187564317707,1119.8515793535535,-3399.4852997638077
635.5170437272249,995.3692904579551,585.3822276247801,1119.8515793535535,-3399.4852997638077
797.7383701601647,996.2804819791706,956.7026460962518,1119.8515793535535,-3399.4852997638077
716.6649449872842,1010.2789063739558,956.8068704345047,1119.8515793535535,-3399.4852997638077
820.9552164674479,1073.423138580817,979.9617691154225,1119.8515793535535,-3399.4852997638077
775.8182643114011,1008.1349993705934,969.3428575597723,1119.8515793535535,-3399.4852997638077
758.8263823003799,996.146185537192,960.3662469522277,1119.8515793535535,-3399.4852997638077
668.9586630062603,1014.8014304975271,575.7403134260209,1119.8515793535535,-3399.4852997638077
666.2384387567845,1031.2472485298433,663.6502631487562,1119.8515793535535,-3399.4852997638077
679.6005325610602,1001.7163382363036,864.6201825064844,1119.8515793535535,-3399.4852997638077
446.81031260643255,999.7842689228249,365.43386188747104,1119.8515793535535,-3399.4852997638077
771.8749204879105,1025.9421800220837,963.6743369017105,1119.8515793535535,-3399.4852997638077
613.6934662073359,1010.6936075869094,427.3078047394315,1119.8515793535535,-3399.4852997638077
586.1342971955618,996.8874551525063,413.9457472863902,1119.8515793535535,-3399.4852997638077
612.8394353090737,1004.2033130145406,479.043776949769,1119.8515793535535,-3399.4852997638077
625.9384289578732,1015.712156091189,463.82544738073375,1119.8515793535535,-3399.4852997638077
603.6144966284148,1011.1941411720159,410.17619823333683,1119.8515793535535,-3399.4852997638077
694.0759659962557,1038.7665230837026,827.4907075573883,1119.8515793535535,-3399.4852997638077
478.5669617942691,973.6582668397931,356.51084280582205,1119.8515793535535,-3399.4852997638077
729.3984485469621,1075.086748035613,871.348338598584,1119.8515793535535,-3399.4852997638077
677.2751667677685,1096.5399352142908,660.2072255936365,1119.8515793535535,-3399.4852997638077
802.3437043833501,1136.6781912840286,1049.4358396801383,1136.6781912840286,-3399.4852997638077
556.8621544369981,992.0694319858787,462.3054265549043,1136.6781912840286,-3399.4852997638077
735.9570712375756,1063.7743022011834,935.5330327054219,1136.6781912840286,-3399.4852997638077
492.23807764744777,1092.543887158134,360.56865935193844,1136.6781912840286,-3399.4852997638077
794.5909537396991,1136.0869085790823,936.0648676227294,1136.6781912840286,-3399.4852997638077
503.41359452774896,1020.348273261436,350.3724172871031,1136.6781912840286,-3399.4852997638077
703.7467779392049,1068.5843476342611,819.5690477695935,1136.6781912840286,-3399.4852997638077
743.8174104819489,1091.5167976101243,965.7560427980536,1136.6781912840286,-3399.4852997638077
759.0983350761018,1128.6388289893468,965.6964145893908,1136.6781912840286,-3399.4852997638077
575.0327986301749,1002.0886425527734,422.16177660191903,1136.6781912840286,-3399.4852997638077
775.7028659798298,1097.1981861325542,1004.4677289260645,1136.6781912840286,-3399.4852997638077
696.78201896459,1101.1300173236555,876.2563637335813,1136.6781912840286,-3399.4852997638077
927.4049206411822,1153.7540026716624,1079.46231577654,1153.7540026716624,-3399.4852997638077
459.82304838251304,983.8373631748332,358.5607073032957,1153.7540026716624,-3399.4852997638077
678.862366636317,1004.7216443990948,705.6607201791606,1153.7540026716624,-3399.4852997638077
809.4665040048695,1050.6086405737453,980.9379599693915,1153.7540026716624,-3399.4852997638077
855.638155343805,1041.034484566837,994.566446046783,1153.7540026716624,-3399.4852997638077
741.9528552647986,984.989663743207,964.6026174203187,1153.7540026716624,-3399.4852997638077
790.2051863069311,1037.324425791433,967.9086050548129,1153.7540026716624,-3399.4852997638077
903.7159655744549,1043.7400335392576,979.0941678038381,1153.7540026716624,-3399.4852997638077
757.1291996093183,1054.8400542923541,968.9491970940571,1153.7540026716624,-3399.4852997638077
882.6191963638819,994.1031812107648,975.1283951173214,1153.7540026716624,-3399.4852997638077
735.2429224269868,994.5338183769236,957.0236070714074,1153.7540026716624,-3399.4852997638077
801.6521340627158,1028.6556645360201,961.9537488067402,1153.7540026716624,-3399.4852997638077
777.456900201491,1024.2993416146085,952.2209578777972,1153.7540026716624,-3399.4852997638077
971.008521330839,993.8250947143378,969.1973982144905,1153.7540026716624,-3399.4852997638077
822.7319163192046,985.0962289564682,973.5746585599362,1153.7540026716624,-3399.4852997638077
832.0228781609139,1016.1109409853211,972.6187406085013,1153.7540026716624,-3399.4852997638077
700.4000969881746,997.9030444838397,965.0289042379085,1153.7540026716624,-3399.4852997638077
770.9948957026592,1065.1996466775724,999.0582612596827,1153.7540026716624,-3399.4852997638077
527.44678794473,984.3934621739699,358.4061740455922,1153.7540026716624,-3399.4852997638077
881.4975772524639,1093.8618793297048,1014.537208246129,1153.7540026716624,-3399.4852997638077
754.415336820801,1161.9756218100883,998.3326541824306,1161.9756218100883,-3399.4852997638077
948.7231503715301,1174.7660132110943,1106.0330099448322,1174.7660132110943,-3399.4852997638077
766.3922146059821,979.0559023582576,928.6449936640616,1174.7660132110943,-3399.4852997638077
889.7020858963394,1103.3608136495118,1018.3224407147568,1174.7660132110943,-3399.4852997638077
960.4502769014555,1180.5489329039392,1050.6795239792223,1180.5489329039392,-3399.4852997638077
814.3426328730764,1204.3257994267747,1068.4309024902634,1204.3257994267747,-3399.4852997638077
777.647820980178,973.8021238931002,921.1083183670329,1204.3257994267747,-3399.4852997638077
913.9315930561756,1103.030094848063,1007.5177541978521,1204.3257994267747,-3399.4852997638077
885.7716875979253,1150.621409335089,977.6079050863387,1204.3257994267747,-3399.4852997638077
985.0622311174791,1298.6060756618383,1070.7072220206876,1298.6060756618383,-3399.4852997638077
598.8980017084822,981.7399645529349,543.1799642838122,1298.6060756618383,-3399.4852997638077
832.4588901490009,1084.6430556251607,995.3680667546939,1298.6060756618383,-3399.4852997638077
737.4266489747145,1117.3873258533415,700.6702179611328,1298.6060756618383,-3399.4852997638077
879.7497587968811,1261.7953300196934,933.7182205819165,1298.6060756618383,-3399.4852997638077
551.8483551176711,985.4338023987997,386.2731242610212,1298.6060756618383,-3399.4852997638077
814.2579690064939,1031.478816033091,950.4577249699469,1298.6060756618383,-3399.4852997638077
671.5972711679854,1060.5838400807866,937.7260558083709,1298.6060756618383,-3399.4852997638077
884.5022440073742,1115.9433014305573,964.8002004308844,1298.6060756618383,-3399.4852997638077
939.0013422463078,1031.671898175445,957.4578532973883,1298.6060756618383,-3399.4852997638077
945.6796761641475,1023.8645143770012,963.8415980996601,1298.6060756618383,-3399.4852997638077
801.5358737979283,1067.1656766661652,967.4413036184591,1298.6060756618383,-3399.4852997638077
480.1093701494022,1086.6413009120195,959.7886304378515,1298.6060756618383,-5853.775165213593
593.6666238572433,984.444659218925,949.9157910487278,1298.6060756618383,-5853.775165213593
746.7910633716216,983.855213013106,960.1446009537962,1298.6060756618383,-5853.775165213593
-3475.9889626684812,1008.1086603817478,966.8279722947425,1298.6060756618383,-94896.10999335654
953.4045436265869,1092.1343024295172,971.7320129283427,1298.6060756618383,-94896.10999335654
658.1082830717884,989.0785265265727,959.2173191595837,1298.6060756618383,-94896.10999335654
701.796740937755,1007.3856339456972,953.7313734983089,1298.6060756618383,-94896.10999335654
836.4363864035557,1009.0439869218656,962.2277374647491,1298.6060756618383,-94896.10999335654
721.5051627074964,1016.1588513985126,958.4269358474068,1298.6060756618383,-94896.10999335654
786.1684895151675,1148.8990468636405,988.905851948197,1298.6060756618383,-94896.10999335654
616.4693541880234,989.2011093841948,499.3835739801834,1298.6060756618383,-94896.10999335654
704.124199597267,1105.0839216825282,1063.094709129667,1298.6060756618383,-94896.10999335654
918.0585118976257,1272.3922467785867,1063.6209495279415,1298.6060756618383,-94896.10999335654
1012.8924051259789,1391.4913297881383,1133.570626194994,1391.4913297881383,-94896.10999335654
466.51002093375365,1100.204273809315,951.101543550699,1391.4913297881383,-94896.10999335654
943.6541048142802,1105.6526136628966,1057.120343981162,1391.4913297881383,-94896.10999335654
-6531.041746457935,1312.9619186845011,1113.5596244990593,1391.4913297881383,-170073.13960482305
1024.0058963313147,1428.3094895089555,1123.8655828598642,1428.3094895089555,-170073.13960482305
-8072.1356866810365,972.5988199425012,918.3821912382652,1428.3094895089555,-186276.12127030682
756.4748092381003,1096.6241857686987,1019.5239858603154,1428.3094895089555,-186276.12127030682
900.1952169374583,1253.0014625621156,1138.3627757412744,1428.3094895089555,-186276.12127030682
-5179.3279872182,1373.3955624958958,1149.022752946322,1428.3094895089555,-186276.12127030682
129.77689065677816,953.0066540679834,887.710348650947,1428.3094895089555,-186276.12127030682
916.871020306987,1126.0645877216054,1052.2630032750276,1428.3094895089555,-186276.12127030682
860.2861331701969,1259.1100936708763,1059.3699976119788,1428.3094895089555,-186276.12127030682
780.2905328445579,1306.7433359777422,1080.6114668268283,1428.3094895089555,-186276.12127030682
814.0042740318531,1174.395481412886,955.6742995953871,1428.3094895089555,-186276.12127030682
668.1373398423805,1103.095946049055,953.4822969783631,1428.3094895089555,-186276.12127030682
938.5344160428912,1272.1536210787401,993.0400526897794,1428.3094895089555,-186276.12127030682
505.5011371835571,1333.030971945069,980.9945803912877,1428.3094895089555,-186276.12127030682
746.6860414081078,1083.9916050831266,976.178022495147,1428.3094895089555,-186276.12127030682
948.659912423569,1148.2349864543207,991.7588864083314,1428.3094895089555,-186276.12127030682
938.4589601139705,1253.8313835638387,982.941866095925,1428.3094895089555,-186276.12127030682
623.3958431942882,1619.574286961014,903.921730651548,1619.574286961014,-186276.12127030682
513.9210166255034,998.9662635029144,946.5765993997828,1619.574286961014,-186276.12127030682
942.2846147934938,1028.505248930282,963.2996104878291,1619.574286961014,-186276.12127030682
535.3730469614788,1093.8945683283177,968.6546479100604,1619.574286961014,-186276.12127030682
785.2163565452765,1158.9762181275742,914.0865353633844,1619.574286961014,-186276.12127030682
879.5538760090603,971.7194842286668,954.5740924939225,1619.574286961014,-186276.12127030682
868.5806797001702,1063.4915310577867,951.085582253963,1619.574286961014,-186276.12127030682
838.7319438336434,1005.6533405238745,942.5540181354077,1619.574286961014,-186276.12127030682
804.067261171407,1068.8063198909877,933.061368648185,1619.574286961014,-186276.12127030682
