mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
248.74297857172425,286.72585504158343,731.0339544596336,731.0339544596336,-1.1651242722432337e+52
354.57327075002524,337.63743037795444,462.71620458182184,731.0339544596336,-1.1651242722432337e+52
327.41712346882343,355.70756299233426,659.1458189276959,731.0339544596336,-1.1651242722432337e+52
304.85007362366974,330.1499867323155,444.7093000045122,731.0339544596336,-1.1651242722432337e+52
206.63832313907196,91.53211074328502,578.4388139229054,731.0339544596336,-1.1651242722432337e+52
369.40115876753424,340.6136605093602,765.9799928795277,765.9799928795277,-1.1651242722432337e+52
242.37020335698088,284.47037609145747,616.319205328457,765.9799928795277,-1.1651242722432337e+52
288.24428521638566,331.88373972756017,405.1727909626506,765.9799928795277,-1.1651242722432337e+52
353.820690732212,355.5167351706733,637.0293186310173,765.9799928795277,-1.1651242722432337e+52
280.91290018056867,316.26638995919234,414.87639545340215,765.9799928795277,-1.1651242722432337e+52
225.8960608486341,291.16742087773173,626.9955627506527,765.9799928795277,-1.1651242722432337e+52
327.1444248373735,333.49644550274127,428.3941895099038,765.9799928795277,-1.1651242722432337e+52
286.28044866076584,347.1924062769798,664.8052166824483,765.9799928795277,-1.1651242722432337e+52
331.18766163149894,338.4931534693514,502.03874559758754,765.9799928795277,-1.1651242722432337e+52
310.9690045217509,335.2564501637923,646.093890684628,765.9799928795277,-1.1651242722432337e+52
345.966538242006,337.5295571155825,534.8464298882627,765.9799928795277,-1.1651242722432337e+52
391.69272346737125,363.87894525403743,741.5070594437608,765.9799928795277,-1.1651242722432337e+52
354.94391123837204,347.7717769159262,617.8352018234422,765.9799928795277,-1.1651242722432337e+52
363.010196457665,353.0028086069992,694.6856696495894,765.9799928795277,-1.1651242722432337e+52
293.45170258280666,317.0093524647474,431.9955332909535,765.9799928795277,-1.1651242722432337e+52
245.76709895424472,112.43031767441859,727.0286144088709,765.9799928795277,-1.1651242722432337e+52
349.9506029982595,324.608654140212,615.495545450464,765.9799928795277,-1.1651242722432337e+52
335.30987884543725,332.89783776218826,643.9842878211164,765.9799928795277,-1.1651242722432337e+52
319.50280777436575,322.82868021381876,669.6396160193692,765.9799928795277,-1.1651242722432337e+52
364.56546203161145,369.2819243028444,669.5351928246878,765.9799928795277,-1.1651242722432337e+52
313.13164382571324,320.62915245128056,565.151558492661,765.9799928795277,-1.1651242722432337e+52
368.2355132544189,368.8718621133585,733.9651332895456,765.9799928795277,-1.1651242722432337e+52
340.75715102596826,341.99977661468097,547.3522640761672,765.9799928795277,-1.1651242722432337e+52
392.3400536865501,379.35200603332436,681.3862303872635,765.9799928795277,-1.1651242722432337e+52
314.5460501093659,327.23165132589656,472.113390005073,765.9799928795277,-1.1651242722432337e+52
366.70979272009316,350.828219585127,720.5576247449376,765.9799928795277,-1.1651242722432337e+52
349.69541192436174,341.0647528810162,666.9372931554213,765.9799928795277,-1.1651242722432337e+52
356.1019846972912,400.6476584848433,663.8568940723136,765.9799928795277,-1.1651242722432337e+52
364.7900742532088,335.49712590464117,623.6584434064524,765.9799928795277,-1.1651242722432337e+52
298.6012306657792,333.4312344183244,679.7112562544054,765.9799928795277,-1.1651242722432337e+52
321.56643931110665,322.7536838011971,464.3096586809884,765.9799928795277,-1.1651242722432337e+52
353.13245330046846,348.7082385185665,701.7316589841425,765.9799928795277,-1.1651242722432337e+52
300.70007302265486,308.4704214738923,380.4587412508179,765.9799928795277,-1.1651242722432337e+52
345.5202550735167,358.9164762039123,603.8655843076061,765.9799928795277,-1.1651242722432337e+52
313.2264410476593,335.6779764854983,453.67932002170727,765.9799928795277,-1.1651242722432337e+52
300.65398364185205,323.5011435007078,601.0295690985239,765.9799928795277,-1.1651242722432337e+52
341.22427109985404,332.32015183834847,627.2141321162279,765.9799928795277,-1.1651242722432337e+52
283.6334266247691,339.23521354913254,563.5428172241195,765.9799928795277,-1.1651242722432337e+52
301.7966584120242,338.27010349419885,657.191482861951,765.9799928795277,-1.1651242722432337e+52
